datetime,location,name,rating,review
2016-08-30 02:51:48,"North Tonawanda, NY",Taylor,1.0,"Where to begin with this company, they've been a nightmare from the beginning and they never seem to get better! I fell for the low monthly payment of $25 and then got slammed with a much higher payment right around Christmas. When I called to see if they could help I was rudely told I could either default on the loan or go back to school and defer it... Yeah, not helpful. That was several years ago and I'm still paying on that loan, which they told me I'd have paid off in October, but somehow my payments don't seem to add up and my interest rate got raised and I've been paying more than they ask each month on time.Then there was a matter of the loan that was under my mom's name, my sister's social security number, my school, and some random loan amount neither of us had chosen. When we called to ask about it and see whose it really was, if it was anyone's at all since it was so messed up, we of course didn't get any help and were pretty much told that we would just have to pay it.Then there was the mystery loan that popped up 3 years after I had graduated. We have been paying on multiple loans and one day we get a letter from the department of education about a loan that was in default for 3 YEARS! Once again we called Sallie Mae and they had the nerve to say they tried contacting us about it but we never made payments... because yeah, we wanted to pay every loan except that one! Not to mention the fact that they had our house phone, my cell phone and email address, and our physical address. Pretty sure if they tried to get a hold of us like they said they would have done it. They had multiple opportunities to contact us.I absolutely DO NOT recommend this company to anyone for any reason. They've been nothing but horrible and useless for about 8 years and I can't wait to be done with them (whenever that day is going to be). I don't feel comfortable giving them one star, they deserve 0, and even that wouldn't reflect how awful they are. Avoid this company like the plague they are."
2016-08-29 20:46:38,"Marietta, GA",Eve,1.0,"Sallie Mae is doing so horribly they had to change their name to NAVIENT. They're still horrible. I've had multiple issues with them and their customer service is so rude. Here's some examples of their rudeness: I'd taken care of a bill the day before. The day after, Sallie Mae calls. I say ""Oh I've already gotten that taken care of."" He says ""Well obviously it hasn't been taken care of otherwise we wouldn't be calling now would we?"" Guy calls and tries to keep me on the phone. I tell him I'm out and would like to wait until I'm home to look at the computer and my accounts. He keeps me on, saying ""Oh well we can just do a post-dated check or a card"" and I say ""I'd much rather do it when I'm at the computer so I can make sure everything's straight"" and he tries his best to keep me on the phone. Finally he says ""Yeah what's the REAL reason you can't pay today?"" I didn't say I COULDN'T PAY! I just said I wanted to make sure my accounts were in order before I start doing post dated checks!He just called again today and I said I had to call him back. He said ""Well you said you'd call back Friday and you never did!"" Actually I did and it went straight to a machine. So he kept saying ""So I'm gonna call back and you better answer! You're gonna answer right? You better answer!"" They just make everything so uncomfortable and aren't nice at all!"
2016-08-26 22:50:07,"Mohnton, PA",eric,1.0,"My son took student loans to finish his college. He graduated in 2014. He has met EVERY requirement of the ""remove co-signer application"" available on their website. His credit score is north of 775. No loans other than the student loans...and the denied it, saying loan to debt ratio was too high??? I contacted my state representative, and NBC Responds, the television station seeks to help people with problems that they can't seem to resolve. Neither got far. The BIG BANK is boss, and with 43% of people in default on student loans, they will do anything to hold onto co-signors...it is wrong. Just be frickin honest, and put on your website, you will not be able to remove co-signer unless they die or loan is paid off. YOU SUCK SALLIE MAE!!!"
2016-08-18 17:53:56,"Phelps, NY",Kent,1.0,"My son borrowed money and I was the co-signer. I can not even make up how bad the customer service is. Once he graduated and started to work his student loans went up from 25.00 a month to 540.00 a month. We called and got them dropped to 205 a month. The process was set up with Sallie Mae and by Sallie Mae. It took 6 one-hour long or more phone calls to get it straight. Phone calls so bad that I do not understand how a organization ran like this could be in business. One call I was transferred 8 times, the record is 10. There is so many hidden items in the loan contract and the way they conduct business is worst. Please parents and students, find other funding."
2016-08-08 20:03:19,"Claremont, CA",Thomas,2.0,"So my parents co-signed on a $10,000 loan for me. My parents live in a different state than I do. Now, if I am like three days late with my payment here's what happens: My dad texts me, ""Sallie Mae is calling multiple times per day on your loan."" I start getting automated calls from them a couple hours later (outside business hours so I can't call back right away). I call them the next day, make a payment and ask them to stop calling my parents when this happens. The calls continue for two more days, and it starts over the next time I'm a couple days late. I concede they have the legal right to call my parents, but I thought that would be if there were indications that I would default; not that I was a couple days late. And why they would call my parents before they call me is beyond comprehension."
2016-08-02 17:23:57,"Ladson, SC",Belinda,3.0,"In 2002 I went to college and graduated early in 2004. One of my loans was with Sallie Mae and I borrowed $14,000 for school. Today is 2016. Yes 12 years later guess what my loan balance is - a whopping $17400.00 and we make monthly payments. Now I took math in school and for some reason our payments do not touch the principal. It just adds up. And we have paid $275.00 monthly. You figure it out... and more to pay... not sure how this is possible. But it is. We continue to pay due to credit, we would be ruined if we did not pay this... a life time of sorrow."
2016-07-25 05:05:55,"Germantown, MD",marilyn,1.0,"I co-signed for a loan for my son who is out of school but has no job. The deferment period is over and Sallie Mae whets their money. I am a single parent, have school loans of my own. A few payments missed, they called me, I paid at least half and asked if any information was sent that can have a negative effect on my credit report. I was told no. Today I found out that they lied to me. My score is down 80 POINTS!!! EVERYONE KNOWS HOW DIFFICULT IT IS TO BUILD A GOOD CREDIT SCORE!! I have heard horror stories about Sallie Mae but I am now having my own experience!!! It sucks to be between the realm of 'rich' and 'poor'. You do not qualify for assistance and you do not make enough to pay your own way so you have to resort to the likes of Sallie Mae!!!"
2016-07-20 19:19:11,"Crockett, VA",Donna,1.0,"I wish with all of my heart that I had never heard of Sallie Mae and never helped my child apply for a loan and co-signed these stupid loans. We could not get any loans anywhere else even with good credit. We are out of deferments with Sallie Mae. My child don't have a job right now. She is trying to find something. I don't understand what is going to happen. She has tried to make some kind of payment each month, but can't make their high payments. We have called and talked to Sallie Mae almost every month and never get straight answers. I couldn't make payments all the time when she was in school, and I am unable to help much now with my husband unable to work due to being injured at work. Am I going to lose everything I own over this? I am worried sick but don't know what to do and can't find anyone to help me. I found this site this time. Is there anyone out there that can at least direct me where to go for help?"
2016-07-17 22:27:13,"Mays Landing, NJ",jim,1.0,"I wish I had read these reviews prior to falling prey to this Legal Loan Shark of a company. I, like the rest of us that want to further the education of our children, had to pay for everything - no grants, no nothing. However, I been paying all four loans while my son was in school from the start, 4 years of it, that was over $1,000 a month every month for 4 years. Then he graduated, Whoopie. Can't find a job. I send each payment (2) separate accounts, two separate bill pay checks sent. I send extra. I get told that I am behind. I asked, ""How could that be, I send more than the minimum required amounts each month."" Ready for this explanation. After my 7th call to these ignorant turds, hung up on, or ""I'm sorry, sir, I can't hear you.""  The one lady tells me that the reason for the confusion is the fact that the Finance Department does not know where to apply the extra money so it goes towards 'rears'. What 'rears'? I'm sure she meant 'Arrears'. I said that makes no sense at all. It should automatically go towards the principal. So then I get told that the payments are based on being ahead by one month. I mean really? What is wrong with this outfit, no manners at all, they got me so pissed off. I went as far as yelling that had my son been a immigrant, he would have had a full ride, but because he is an American, he gets nothing, and yet they base all his financial documents based on my salary and my wives. Why? He is over 18. This Sallie Mae corporation is nothing more than a legal Loan shark that sucks the life out of every person that falls for their ""Loans"". Once they get you to sign on the dotted line, they got you and if I worked at this Pyramid Ponzi scam ** hole and spoke to the customers the way they do, I would have been fired. No wonder education is not within the reach of any American here. I hope Trump plucks your feathers and expose you for what you really are. Out for yourselves."
2016-07-05 15:35:17,"Chicopee, MA",David,1.0,"Sallie Mae is the worst loan company I have worked with, and I will regret my decision until the day I die. Sallie Mae promises new loan buyers the world, but once you sign the papers, their well-wishes become fangs filled with venom. When I first applied for a Sallie Mae loan, I was hooked by their low-interest rate (which, compared to the other loan providers, 6% was great). After signing the dotted line, that 6% became 9%. When I argued it, the customer service reps would either sit there in silence, laugh or just hang up on me.Another issue is that they are not willing to work with you, at all / no matter what (especially post the forbearance stage). They want me to pay 797.13 a month on top of another loan that is from a different company... I can afford 1/2 of that, easily. BUT, rather than getting something instead of nothing, they declined every solution I had and just hung up on me. I begged and pleaded, but they would rather have my co-signer and I go into default than to work with me.The customer service portion is a joke. One rep called me a liar when I told him I am borrowing money to pay my loans (really??). Another rep laughed at me when I told her of my issues, and she told me ""Sucks to be you, kid."" and hung up on me. Another rep said ""I have better things to do than work with people like you."" and hung up on me. These are three of the MANY calls I had with them, most of them either equal to worst than what I just said. They really make Comcast customer service look like angels.Finally, I am in a situation where the money I make doesn't compare to the payments required. One rep, laughing while he said it, told me to find another place to buy-out my loans. I may just do that because I'm working myself to death for nothing. I wish the absolute worst to Sallie Mae, and I truly believe in karma. Companies like Sallie Mae are the reason why people are struggling to this day. I made the choice to go to college, I graduated top of my major, I work harder now than I ever did to survive. What goes around, comes around, Sallie Mae.UPDATED ON 07/23/2016:After writing my previous review, I was contacted by Sallie Mae's Office of the Customer Advocate. In their message, they left me a phone number to call. I suddenly felt like my prayers were going to be answered, and that my payments would become more manageable. NOPE. Instead, when I called the number and I was immediately sent to a representative (whom I want to publicly name, because she was a class piece-of-work, BUT if I do, I feel that Sallie Mae will find another way to punish me). The representative introduced herself to me, apologized for my experience, and stated that she was going to listen to all my calls in hopes to fixing the issues that I had. She never once said ""We will try to find a way to help you pay what you can"", instead... just ""fix the issues that I had"". She told me to wait two days, and she would call me back. After waiting those two day, she contacted me. She immediately reminded me that I was being recorded and I must understand this (immediately igniting shivers of rage within me). She promptly followed that she found no proof to the experiences I had, and professionally called me a liar. She stated she only went back to ""2015"", to which I have been having these issues with Sallie Mae reps since 2014 (when I graduated). After telling her what I stated was still the truth, she just replied ""Yup"" and I began to hear an onslaught of ""taptaptap"" in the background (now documenting her behind). Long story short, after going back and forth with her (and hearing an unending onslaught of ""taptaptap"" in the background), I bluntly asked her ""Did Sallie Mae reach out to me to help me out OR did they seriously contact me JUST to clear their customer service's name?"" She evaded the question and told me, instead, that ONCE AGAIN Sallie Mae will not help me lower my current payments. Sallie Mae's reasoning is as follows: Since I am ""paying"" my loans, I am therefore not considered ""in financial difficulty"", even though I frequently call them, begging to lower the monthly payments. Sallie Mae's wants me is purposely not pay my loans (and call them before 15 day past-due date), then have Sallie Mae NOW take both my co-signer's and my financial information, run a financial report, and make a new payment pooling our incomes. When I disagreed with this, saying it was stupid, and said that I didn't want my brother now getting pulled down with me, her actual response was ""Well, he shoulda knew what he was getting into once he signed the papers. That's what a co-signer is for, right? You can't make your payments, then he can. If you didn't want to put him at risk, you should never have used him."" Really? REALLY??What we knew when we agreed to signing up with Sallie Mae is that I was promised that I would end up paying the loans back at LOW INTEREST/PAYMENT (hence why we were brought to Sallie Mae in the first place... their LOW REPAYMENT PRICES), not the factor that I signed a blood document, seeded with lies, so that they would cripple my brother and I should I experience any struggles at a price tag THEY personally decided.In the end, classic horrid customer service being horrid again, combined with ruthless business tactics. If I hit a miracle and I am actually able to pay off this upcoming month's loans, I will immediately start searching for someone to buy out my loans and save me from the hell Sallie Mae has put me through. Everything about this company is a corrupt from the ground up, and do not trust Navient, either. They are run by the same people and same principles of Sallie Mae (this stated from the ACS, StudentLoans.Gov, and NSLDS representatives I talked to on the phone, post that Sallie Mae phone call). To any/all potential Sallie Mae repliers, DON'T BOTHER MESSAGING ME. You will not get a response from me anymore, no matter what you say. I am completely done dealing with you/interacting with you. May this PLEASE be the last experience I ever have to have with them again."
2016-07-03 18:07:00,"Richmond, VA",Tori,1.0,First of all I never used the Sallie Mae loan because my ex-husband between 2009 and 2014 was in the military and I had went to University of Phoenix and Pikes Peak Community College. Sallie Mae charged me for schools that I didn't even go to. I gave them proof that my identity was stolen and they keep sending me more and more bill statements after stating that I never gone to these horrible schools that wasn't even accredited like Remington College or Everest. Don't ever apply there because some students don't even get jobs after they were promised that they would. They have no accreditation and have the highest rate of college dropouts. They pool your information and tell you you owe them even when you did not go. So Sallie Mae is a piece of useless loan that makes you pay when you didn't go and puts it on your credit. However they can go fly a kite because I am NOT PAYING FOR A SCHOOL I NEVER WENT TO and neither should you.
2016-07-01 15:27:50,"Reading, MA",Carol,1.0,"While my son was in school, he was paying $200 a month toward his loan. Suddenly, they started sending him back a check for $200 a month. We called the phone number provided on the check to find out why. They were to return our call with an answer within 10 days. Nope. Meanwhile, this went on for five months. After speaking to numerous people at numerous numbers that they kept transferring us around to, NOT ONE person could explain why they were sending him $200 every month.Meanwhile, his loan is NOT being paid and interest is accruing yet he is TRYING to pay down his loan. WE assumed it was because since he was in school full-time, he was in ""forbearance"" and they WOULDN'T take his payments! He was paying them from his bank, not through the automatic withdrawal because they wouldn't let him pay the $200 a month that way because he was in school! Since my son has attempted to pay ahead on this loan, they have more than once stopped taking payments and returned payments without any notification to him. I therefore can specifically say that Sallie Mae intentionally causes students to accumulate interest."
2016-06-26 13:56:15,"River Rouge, MI",Julie,1.0,"Sallie Mae is the worst loans for students you say look I have no job. I can't get a job. I have no money. Well you have to pay X amount of dollars for you to get a forbearance and it's 50 per loan. Well if I had that 50 per loan then I wouldn't need this... They don't care what kind of situation you have they want that money... and since you can't file bankruptcy on them they have you... But guess what if you get disabled or draw social security you don't have to pay it is forgiven so what the hell get disab... Then it's all forgiven and then go back to work lol... And the personal loans, signature loans those can be dismissed on bankruptcy so what the hell file easier to start your credit over then get them off your back."
2016-06-04 23:40:39,"Brenham, TX",Alexis,1.0,"I was told, by my financial adviser, that Sallie Mae was the way to go when getting a student loan. It was not. First off, they divided it into 3 separate loans which one was for a ridiculously low amount... that I could've, literally, paid out of pocket... and each had a different interest rate. When it came time to pay, I wasn't allowed to pay more towards one, they divided it up for me and less than half of what I was paying went to the principle balance. A total joke. Customer service was absolutely horrendous and no help at all. I'd get transferred time and time again. Then when I left school, they demanded I pay the remaining amount in full. There was no way I could pay 10 grand out of pocket. They automatically put my loan into default. It took me 6 months to get them to agree to a payment plan. I could go on and on about how awful this company is. If anyone recommends that you go through them, just don't!"
2016-06-01 03:52:58,"Laguna Niguel, CA",farrah,1.0,"I applied to Sallie Mae based off of my college advisor (whom I wish I never listened to) when I was applying for College. I had to open a loan and my advisor kept ""selling"" Sallie Mae to me because ALL her students used it. Since I had less than a week to get my application thru so that I could get approved after I was accepted, I thought, what the heck, why not, seems like a well trusted company.I contacted Sallie Mae and the representative persuaded me to choose a FIXED rate instead of a Variable for my loan. His reasoning was that since I have never opened a loan before, I should choose having a fixed rate. Fine, I did that. Well, my ""fixed"" rate ended up being a wonderful 11.75% rate! There was no going back. I was also convinced by him that this was a GREAT RATE!I graduated 3 years ago. I've been paying on time, every month, well above my minimum monthly payment just to keep my head above water and keep this rate under control. It's been eating me up and I've seriously gone crazy and feel like I'm on the verge of becoming homeless! If I had chosen a variable rate, my interest rate would have been as low as 3 to 6%, not too bad comparing to what I'm stuck with now. And if it was a variable rate, I would have been able to make decent payments instead of these huge chunks that rip right through my bank account.I contacted Sallie Mae to try to negotiate a better rate and they told me that I could either open their credit card and pay off the loan through that (with a rate that will only be 11.50 % instead), or I can have my account go to COLLECTIONS and ruin my credit so that they can work with providing me LOWER rate. Terrible service. I'm almost done paying this nightmare of a loan off.But my advice to anyone thinking of using Sallie Mae is: Do your RESEARCH before opening up any loans with SM. Do not let any representative persuade you into accepting a high interest rate because of the simple reason that you are a student and do not have any loan experience therefore this is why you were approved with a higher rate. Remember: YOU are a STUDENT, you should not have any experiences with opening other loans, hence the reason for why you are opening a student loan. If you do decide to go with SM, make sure you make larger payments to keep your head above water and do not miss any payments!!"
2016-05-14 22:23:58,"Peoria, AZ",Alban,1.0,"The website is horrendous. I spoke with agent some months ago to make sure all of the loans we pay for our kids are automatically withdrawn. I was ASSURED they all were good to go. So I get a notice we are late!!? Of course I go online to pay it. Problem 1: shows the past due loan (at about $84) and it was not on automated system. Ok, not the end of the world so I try to put it on automatic withdrawal (put in bank number routing number, etc.) but it won't take the payment because there is a past due loan (PS past due by 2 days!). OK, I can handle that. I go back and tell the website to make the payment but it's automated. I can't put in an amount and the amount it will let me pay is about $2 less than what it says we owe. No other options so I pay it.Hmmm... website still shows we owe about $84. So I use the phone and run through their system (It's Saturday when most working people can call). So after going through several options (including if you'd like to speak with an agent press #__), I entered the information to make the payment by my bank. The automated response asked me to confirm that I wanted to make a payment of $82 (still an amount lower than they said we owed). I confirmed by hitting the digit 1 on the phone as directed. Then it said we could not make future payments which caught me off guard because they are saying it's past due.As directed I entered 1 again. It recycled back to the same messages that I heard when I first called the number. So I went through the prompts again, but this time the automated response was, ""So, to make sure, you want to pay $164."" So I went through the prompts again, and when it gave the option to speak with an agent, I entered 1 to say yes. It immediately said agent assistance is only available on Monday-Friday (Tell me that up front)! So I hung up and went back online to see what it said on my account now. Nothing had changed. So I called back and went through the prompts again - everything was exactly the same until it got to the ""So, to be sure, you want to make a payment of $228?"" So I just hung up! I can see where this is going - NEVER and I mean NEVER has it been so hard to make a payment on something!!!To add insult to injury, when they left a voicemail about the past due loan, they threatened my credit rating (which is well over 800) over a payment that was only 2 days late. Even then, they had previously told me verbally that all of my loans were on auto-pay. So I haven't even been checking on the amounts due - I just assume it's on auto-pay, which has been working fine for many months.Why when I go on the website am I shown an amount to pay that is LESS THAN what I am being told is PAST DUE. Wouldn't that amount AT LEAST be the amount that is past due??? And then I cannot even change the amount to make it the amount due. If they are worried people will put in a lower amount then fine. But at least let people put in a higher amount especially when it is ""past due.""Do they mean to tell me that they cannot create an online program that would allow me to enter what they are telling me I need to pay? I am no software whiz, but I could even make an Excel sheet that could do that. If their web page could do that they would have their money, and I wouldn't have spent precious weekend time dealing with this.I know this review won't change anything. Student loans are almost a monopoly (""We don't care - we don't have to""). I wrote this review on this website, because although I may have missed seeing it I didn't see anywhere on their website to give feedback. Smart move on their part! I did give them 5 stars of payment options because that issue is good (debit, credit card, or checking account number for direct pull - supposedly), but the service is wretched!"
